	Course	Gender	Age	Year	Reasons
126	3.0	1.0	25.0	5.0	5.0
127	3.0	1.0	25.0	5.0	5.0
128	3.0	2.0	24.0	5.0	5.0
129	3.0	1.0	24.0	5.0	5.0
130	3.0	1.0	23.0	5.0	5.0
131	3.0	1.0	26.0	5.0	5.0
132	3.0	2.0	23.0	5.0	5.0
133	3.0	1.0	27.0	5.0	5.0
134	3.0	1.0	26.0	5.0	5.0
135	3.0	1.0	26.0	5.0	5.0
136	3.0	1.0	25.0	5.0	5.0
137	3.0	2.0	22.0	5.0	5.0
138	3.0	2.0	23.0	3.0	2.0
139	3.0	1.0	23.0	2.0	3.0
140	3.0	2.0	21.0	1.0	1.0
141	3.0	1.0	25.0	3.0	2.0
142	3.0	1.0	25.0	3.0	3.0
143	3.0	1.0	20.0	2.0	4.0
144	3.0	2.0	20.0	1.0	4.0
145	3.0	1.0	22.0	3.0	2.0
146	3.0	1.0	26.0	3.0	4.0
147	4.0	1.0	26.0	5.0	5.0
148	4.0	2.0	24.0	5.0	5.0
149	4.0	1.0	25.0	5.0	5.0
150	4.0	1.0	26.0	5.0	5.0
151	4.0	2.0	25.0	5.0	5.0
152	4.0	2.0	24.0	5.0	5.0
153	4.0	1.0	27.0	5.0	5.0
154	4.0	1.0	26.0	5.0	5.0
155	4.0	2.0	22.0	5.0	5.0
156	4.0	1.0	26.0	5.0	5.0
157	4.0	1.0	26.0	5.0	5.0
158	4.0	1.0	28.0	5.0	5.0
159	4.0	1.0	23.0	5.0	5.0
160	4.0	2.0	24.0	5.0	5.0
161	4.0	2.0	24.0	5.0	5.0
162	4.0	1.0	24.0	5.0	5.0
163	4.0	2.0	22.0	5.0	5.0
164	4.0	1.0	25.0	5.0	5.0
165	4.0	1.0	24.0	5.0	5.0
166	4.0	1.0	26.0	5.0	5.0
167	4.0	1.0	25.0	5.0	5.0
168	4.0	1.0	26.0	5.0	5.0
169	4.0	2.0	24.0	5.0	5.0
170	4.0	2.0	23.0	5.0	5.0
171	4.0	1.0	25.0	4.0	2.0
172	4.0	2.0	23.0	4.0	2.0
173	4.0	1.0	24.0	4.0	2.0
174	4.0	1.0	22.0	3.0	2.0
175	4.0	2.0	19.0	2.0	4.0
176	4.0	2.0	21.0	2.0	3.0
177	4.0	1.0	25.0	2.0	1.0
178	4.0	1.0	26.0	1.0	3.0
179	4.0	1.0	21.0	2.0	4.0
180	4.0	1.0	25.0	2.0	2.0
181	4.0	1.0	26.0	3.0	3.0
182	4.0	2.0	19.0	1.0	1.0
183	4.0	1.0	24.0	2.0	4.0
184	4.0	1.0	23.0	2.0	2.0
185	4.0	1.0	22.0	2.0	3.0
186	4.0	1.0	19.0	2.0	1.0
187	4.0	1.0	22.0	2.0	3.0
188	4.0	1.0	23.0	2.0	3.0
189	4.0	2.0	24.0	2.0	4.0
190	4.0	1.0	17.0	1.0	3.0
191	4.0	1.0	22.0	3.0	4.0
192	4.0	1.0	21.0	1.0	1.0
193	4.0	2.0	22.0	2.0	2.0
194	4.0	1.0	24.0	3.0	2.0
195	4.0	1.0	27.0	4.0	3.0
196	4.0	1.0	22.0	3.0	2.0
197	4.0	1.0	23.0	3.0	2.0
198	4.0	1.0	21.0	2.0	2.0
199	4.0	1.0	21.0	3.0	3.0
200	4.0	2.0	21.0	1.0	1.0
201	4.0	1.0	22.0	2.0	2.0
